month,starting_balance,interest_paid,principal_paid,new_balance,interest_rate,car_type
33,17701.37,103.55,583.68,17117.69,0.0702,Toyota Sienna
34,17117.69,100.13,587.1,16530.59,0.0702,Toyota Sienna
35,16530.59,96.7,590.53,15940.06,0.0702,Toyota Sienna
36,15940.06,93.24,593.99,15346.07,0.0702,Toyota Sienna
37,15346.07,89.77,597.46,14748.61,0.0702,Toyota Sienna
38,14748.61,86.27,600.96,14147.65,0.0702,Toyota Sienna
39,14147.65,82.76,604.47,13543.18,0.0702,Toyota Sienna
40,13543.18,79.22,608.01,12935.17,0.0702,Toyota Sienna
41,12935.17,75.67,611.56,12323.61,0.0702,Toyota Sienna
42,12323.61,72.09,615.14,11708.47,0.0702,Toyota Sienna
43,11708.47,68.49,618.74,11089.73,0.0702,Toyota Sienna
44,11089.73,64.87,622.36,10467.37,0.0702,Toyota Sienna
45,10467.37,61.23,626.0,9841.37,0.0702,Toyota Sienna
46,9841.37,57.57,629.66,9211.71,0.0702,Toyota Sienna
47,9211.71,53.88,633.35,8578.36,0.0702,Toyota Sienna
48,8578.36,50.18,637.05,7941.31,0.0702,Toyota Sienna
49,7941.31,46.45,640.78,7300.53,0.0702,Toyota Sienna
50,7300.53,42.7,644.53,6656.0,0.0702,Toyota Sienna
51,6656.0,38.93,648.3,6007.7,0.0702,Toyota Sienna
52,6007.7,35.14,652.09,5355.61,0.0702,Toyota Sienna
53,5355.61,31.33,655.9,4699.71,0.0702,Toyota Sienna
54,4699.71,27.49,659.74,4039.97,0.0702,Toyota Sienna
55,4039.97,23.63,663.6,3376.37,0.0702,Toyota Sienna
56,3376.37,19.75,667.48,2708.89,0.0702,Toyota Sienna
57,2708.89,15.84,671.39,2037.5,0.0702,Toyota Sienna
58,2037.5,11.91,675.32,1362.18,0.0702,Toyota Sienna
59,1362.18,7.96,679.27,682.91,0.0702,Toyota Sienna
60,682.91,3.99,683.24,-0.33,0.0702,Toyota Sienna
1,34689.96,103.78,528.69,34161.27,0.0359,Toyota Sienna
2,34161.27,102.19,530.28,33630.99,0.0359,Toyota Sienna
3,33630.99,100.61,531.86,33099.13,0.0359,Toyota Sienna
4,33099.13,99.02,533.45,32565.68,0.0359,Toyota Sienna
5,32565.68,97.42,535.05,32030.63,0.0359,Toyota Sienna
6,32030.63,95.82,536.65,31493.98,0.0359,Toyota Sienna
7,31493.98,94.21,538.26,30955.72,0.0359,Toyota Sienna
8,30955.72,92.6,539.87,30415.85,0.0359,Toyota Sienna
9,30415.85,90.99,541.48,29874.37,0.0359,Toyota Sienna
10,29874.37,89.37,543.1,29331.27,0.0359,Toyota Sienna
11,29331.27,87.74,544.73,28786.54,0.0359,Toyota Sienna
12,28786.54,86.11,546.36,28240.18,0.0359,Toyota Sienna
13,28240.18,84.48,547.99,27692.19,0.0359,Toyota Sienna
14,27692.19,82.84,549.63,27142.56,0.0359,Toyota Sienna
15,27142.56,81.2,551.27,26591.29,0.0359,Toyota Sienna
16,26591.29,79.55,552.92,26038.37,0.0359,Toyota Sienna
17,26038.37,77.89,554.58,25483.79,0.0359,Toyota Sienna
18,25483.79,76.23,556.24,24927.55,0.0359,Toyota Sienna
19,24927.55,74.57,557.9,24369.65,0.0359,Toyota Sienna
20,24369.65,72.9,559.57,23810.08,0.0359,Toyota Sienna
21,23810.08,71.23,561.24,23248.84,0.0359,Toyota Sienna
22,23248.84,69.55,562.92,22685.92,0.0359,Toyota Sienna
23,22685.92,67.86,564.61,22121.31,0.0359,Toyota Sienna
24,22121.31,66.17,566.3,21555.01,0.0359,Toyota Sienna
25,21555.01,64.48,567.99,20987.02,0.0359,Toyota Sienna
26,20987.02,62.78,569.69,20417.33,0.0359,Toyota Sienna
27,20417.33,61.08,571.39,19845.94,0.0359,Toyota Sienna
28,19845.94,59.37,573.1,19272.84,0.0359,Toyota Sienna
29,19272.84,57.65,574.82,18698.02,0.0359,Toyota Sienna
30,18698.02,55.93,576.54,18121.48,0.0359,Toyota Sienna
31,18121.48,54.21,578.26,17543.22,0.0359,Toyota Sienna
32,17543.22,52.48,579.99,16963.23,0.0359,Toyota Sienna
33,16963.23,50.74,581.73,16381.5,0.0359,Toyota Sienna
34,16381.5,49.0,583.47,15798.03,0.0359,Toyota Sienna
35,15798.03,47.26,585.21,15212.82,0.0359,Toyota Sienna
36,15212.82,45.51,586.96,14625.86,0.0359,Toyota Sienna
37,14625.86,43.75,588.72,14037.14,0.0359,Toyota Sienna
38,14037.14,41.99,590.48,13446.66,0.0359,Toyota Sienna
39,13446.66,40.22,592.25,12854.41,0.0359,Toyota Sienna
40,12854.41,38.45,594.02,12260.39,0.0359,Toyota Sienna
41,12260.39,36.67,595.8,11664.59,0.0359,Toyota Sienna
42,11664.59,34.89,597.58,11067.01,0.0359,Toyota Sienna
43,11067.01,33.1,599.37,10467.64,0.0359,Toyota Sienna
44,10467.64,31.31,601.16,9866.48,0.0359,Toyota Sienna
45,9866.48,29.51,602.96,9263.52,0.0359,Toyota Sienna
46,9263.52,27.71,604.76,8658.76,0.0359,Toyota Sienna
47,8658.76,25.9,606.57,8052.19,0.0359,Toyota Sienna
48,8052.19,24.08,608.39,7443.8,0.0359,Toyota Sienna
49,7443.8,22.26,610.21,6833.59,0.0359,Toyota Sienna
50,6833.59,20.44,612.03,6221.56,0.0359,Toyota Sienna
51,6221.56,18.61,613.86,5607.7,0.0359,Toyota Sienna
52,5607.7,16.77,615.7,4992.0,0.0359,Toyota Sienna
53,4992.0,14.93,617.54,4374.46,0.0359,Toyota Sienna
54,4374.46,13.08,619.39,3755.07,0.0359,Toyota Sienna
55,3755.07,11.23,621.24,3133.83,0.0359,Toyota Sienna
56,3133.83,9.37,623.1,2510.73,0.0359,Toyota Sienna
57,2510.73,7.51,624.96,1885.77,0.0359,Toyota Sienna
58,1885.77,5.64,626.83,1258.94,0.0359,Toyota Sienna
59,1258.94,3.76,628.71,630.23,0.0359,Toyota Sienna
60,630.23,1.88,630.59,-0.36,0.0359,Toyota Sienna
1,21600.0,70.2,566.56,21033.44,0.039,Toyota Corolla
2,21033.44,68.35,568.41,20465.03,0.039,Toyota Corolla
3,20465.03,66.51,570.25,19894.78,0.039,Toyota Corolla
4,19894.78,64.65,572.11,19322.67,0.039,Toyota Corolla
5,19322.67,62.79,573.97,18748.7,0.039,Toyota Corolla
6,18748.7,60.93,575.83,18172.87,0.039,Toyota Corolla
7,18172.87,59.06,577.7,17595.17,0.039,Toyota Corolla
8,17595.17,57.18,579.58,17015.59,0.039,Toyota Corolla
9,17015.59,55.3,581.46,16434.13,0.039,Toyota Corolla
10,16434.13,53.41,583.35,15850.78,0.039,Toyota Corolla
11,15850.78,51.51,585.25,15265.53,0.039,Toyota Corolla
12,15265.53,49.61,587.15,14678.38,0.039,Toyota Carolla
13,14678.38,47.7,589.06,14089.32,0.039,Toyota Corolla
14,14089.32,45.79,590.97,13498.35,0.039,Toyota Corolla
15,13498.35,43.86,592.9,12905.45,0.039,Toyota Corolla
16,12905.45,41.94,594.82,12310.63,0.039,Toyota Corolla
17,12310.63,40.0,596.76,11713.87,0.039,Toyota Corolla
18,11713.87,38.07,598.69,11115.18,0.039,Toyota Corolla
19,11115.18,36.12,600.64,10514.54,0.039,Toyota Corolla
20,10514.54,34.17,602.59,9911.95,0.039,Toyota Corolla
21,9911.95,32.21,604.55,9307.4,0.039,Toyota Carolla
22,9307.4,30.24,606.52,8700.88,0.039,Toyota Corolla
23,8700.88,28.27,608.49,8092.39,0.039,Toyota Corolla
24,8092.39,26.3,610.46,7481.93,0.039,Toyota Corolla
25,7481.93,24.31,612.45,6869.48,0.039,Toyota Corolla
26,6869.48,22.32,614.44,6255.04,0.039,Toyota Corolla
27,6255.04,20.32,616.44,5638.6,0.039,Toyota Corolla
28,5638.6,18.32,618.44,5020.16,0.039,Toyota Corolla
29,5020.16,16.31,620.45,4399.71,0.039,Toyota Corolla
30,4399.71,14.29,622.47,3777.24,0.039,Toyota Corolla
31,3777.24,12.27,624.49,3152.75,0.039,Toyota Carolla
32,3152.75,10.24,626.52,2526.23,0.039,Toyota Corolla
33,2526.23,8.21,628.55,1897.68,0.039,Toyota Corolla
34,1897.68,6.16,630.6,1267.08,0.039,Toyota Corolla
35,1267.08,4.11,632.65,634.43,0.039,Toyota Corolla
36,634.43,2.06,634.7,-0.27,0.039,Toyota Corolla
1,21600.0,70.2,416.54,21183.46,0.039,Toyota Carolla
2,21183.46,68.84,417.9,20765.56,0.039,Toyota Carolla
3,20765.56,67.48,419.26,20346.3,0.039,Toyota Carolla
4,20346.3,66.12,420.62,19925.68,0.039,Toyota Carolla
5,19925.68,64.75,421.99,19503.69,0.039,Toyota Carolla
6,19503.69,63.38,423.36,19080.33,0.039,Toyota Carolla
7,19080.33,62.01,424.73,18655.6,0.039,Toyota Carolla
8,18655.6,60.63,426.11,18229.49,0.039,Toyota Carolla
9,18229.49,59.24,427.5,17801.99,0.039,Toyota Carolla
10,17801.99,57.85,428.89,17373.1,0.039,Toyota Carolla
11,17373.1,56.46,430.28,16942.82,0.039,Toyota Carolla
12,16942.82,55.06,431.68,16511.14,0.039,Toyota Carolla
13,16511.14,53.66,433.08,16078.06,0.039,Toyota Carolla
14,16078.06,52.25,434.49,15643.57,0.039,Toyota Carolla
15,15643.57,50.84,435.9,15207.67,0.039,Toyota Carolla
16,15207.67,49.42,437.32,14770.35,0.039,Toyota Carolla
17,14770.35,48.0,438.74,14331.61,0.039,Toyota Carolla
18,14331.61,46.57,440.17,13891.44,0.039,Toyota Carolla
19,13891.44,45.14,441.6,13449.84,0.039,Toyota Carolla
20,13449.84,43.71,443.03,13006.81,0.039,Toyota Carolla
21,13006.81,42.27,444.47,12562.34,0.039,Toyota Carolla
22,12562.34,40.82,445.92,12116.42,0.039,Toyota Carolla
23,12116.42,39.37,447.37,11669.05,0.039,Toyota Carolla
24,11669.05,37.92,448.82,11220.23,0.039,Toyota Carolla
25,11220.23,36.46,450.28,10769.95,0.039,Toyota Carolla
26,10769.95,35.0,451.74,10318.21,0.039,Toyota Carolla
27,10318.21,33.53,453.21,9865.0,0.039,Toyota Carolla
28,9865.0,32.06,454.68,9410.32,0.039,Toyota Carolla
29,9410.32,30.58,456.16,8954.16,0.039,Toyota Carolla
30,8954.16,29.1,457.64,8496.52,0.039,Toyota Carolla
31,8496.52,27.61,459.13,8037.39,0.039,Toyota Carolla
32,8037.39,26.12,460.62,7576.77,0.039,Toyota Carolla
33,7576.77,24.62,462.12,7114.65,0.039,Toyota Carolla
34,7114.65,23.12,463.62,6651.03,0.039,Toyota Carolla
35,6651.03,21.61,465.13,6185.9,0.039,Toyota Carolla
36,6185.9,20.1,466.64,5719.26,0.039,Toyota Carolla
37,5719.26,18.58,468.16,5251.1,0.039,Toyota Carolla
38,5251.1,17.06,469.68,4781.42,0.039,Toyota Carolla
39,4781.42,15.53,471.21,4310.21,0.039,Toyota Carolla
40,4310.21,14.0,472.74,3837.47,0.039,Toyota Carolla
41,3837.47,12.47,474.27,3363.2,0.039,Toyota Carolla
42,3363.2,10.93,475.81,2887.39,0.039,Toyota Carolla
43,2887.39,9.38,477.36,2410.03,0.039,Toyota Carolla
44,2410.03,7.83,478.91,1931.12,0.039,Toyota Carolla
45,1931.12,6.27,480.47,1450.65,0.039,Toyota Carolla
46,1450.65,4.71,482.03,968.62,0.039,Toyota Carolla
47,968.62,3.14,483.6,485.02,0.039,Toyota Carolla
48,485.02,1.57,485.17,-0.15,0.039,Toyota Carolla
1,21600.0,70.2,326.62,21273.38,0.039,Toyota Carolla
2,21273.38,69.13,327.69,20945.69,0.039,Toyota Carolla
3,20945.69,68.07,328.75,20616.94,0.039,Toyota Carolla
4,20616.94,67.0,329.82,20287.12,0.039,Toyota Carolla
5,20287.12,65.93,330.89,19956.23,0.039,Toyota Carolla
6,19956.23,64.85,331.97,19624.26,0.039,Toyota Carolla
7,19624.26,63.77,333.05,19291.21,0.039,Toyota Carolla
8,19291.21,62.69,334.13,18957.08,0.039,Toyota Carolla
9,18957.08,61.61,335.21,18621.87,0.039,Toyota Carolla
10,18621.87,60.52,336.3,18285.57,0.039,Toyota Carolla
11,18285.57,59.42,337.4,17948.17,0.039,Toyota Carolla
12,17948.17,58.33,338.49,17609.68,0.039,Toyota Carolla
13,17609.68,57.23,339.59,17270.09,0.039,Toyota Carolla
14,17270.09,56.12,340.7,16929.39,0.039,Toyota Carolla
15,16929.39,55.02,341.8,16587.59,0.039,Toyota Carolla
16,16587.59,53.9,342.92,16244.67,0.039,Toyota Carolla
17,16244.67,52.79,344.03,15900.64,0.039,Toyota Carolla
18,15900.64,51.67,345.15,15555.49,0.039,Toyota Carolla
19,15555.49,50.55,346.27,15209.22,0.039,Toyota Carolla
20,15209.22,49.42,347.4,14861.82,0.039,Toyota Carolla
21,14861.82,48.3,348.52,14513.3,0.039,Toyota Carolla
22,14513.3,47.16,349.66,14163.64,0.039,Toyota Carolla
23,14163.64,46.03,350.79,13812.85,0.039,Toyota Carolla
24,13812.85,44.89,351.93,13460.92,0.039,Toyota Carolla
25,13460.92,43.74,353.08,13107.84,0.039,Toyota Carolla
26,13107.84,42.6,354.22,12753.62,0.039,Toyota Carolla
27,12753.62,41.44,355.38,12398.24,0.039,Toyota Carolla
28,12398.24,40.29,356.53,12041.71,0.039,Toyota Carolla
29,12041.71,39.13,357.69,11684.02,0.039,Toyota Carolla
30,11684.02,37.97,358.85,11325.17,0.039,Toyota Carolla
31,11325.17,36.8,360.02,10965.15,0.039,Toyota Carolla
32,10965.15,35.63,361.19,10603.96,0.039,Toyota Carolla
33,10603.96,34.46,362.36,10241.6,0.039,Toyota Carolla
34,10241.6,33.28,363.54,9878.06,0.039,Toyota Carolla
35,9878.06,32.1,364.72,9513.34,0.039,Toyota Carolla
36,9513.34,30.91,365.91,9147.43,0.039,Toyota Carolla
37,9147.43,29.72,367.1,8780.33,0.039,Toyota Carolla
38,8780.33,28.53,368.29,8412.04,0.039,Toyota Carolla
39,8412.04,27.33,369.49,8042.55,0.039,Toyota Carolla
40,8042.55,26.13,370.69,7671.86,0.039,Toyota Carolla
41,7671.86,24.93,371.89,7299.97,0.039,Toyota Carolla
42,7299.97,23.72,373.1,6926.87,0.039,Toyota Carolla
43,6926.87,22.51,374.31,6552.56,0.039,Toyota Carolla
44,6552.56,21.29,375.53,6177.03,0.039,Toyota Carolla
45,6177.03,20.07,376.75,5800.28,0.039,Toyota Carolla
46,5800.28,18.85,377.97,5422.31,0.039,Toyota Carolla
47,5422.31,17.62,379.2,5043.11,0.039,Toyota Carolla
48,5043.11,16.39,380.43,4662.68,0.039,Toyota Carolla
49,4662.68,15.15,381.67,4281.01,0.039,Toyota Carolla
50,4281.01,13.91,382.91,3898.1,0.039,Toyota Carolla
51,3898.1,12.66,384.16,3513.94,0.039,Toyota Carolla
52,3513.94,11.42,385.4,3128.54,0.039,Toyota Carolla
53,3128.54,10.16,386.66,2741.88,0.039,Toyota Carolla
54,2741.88,8.91,387.91,2353.97,0.039,Toyota Carolla
55,2353.97,7.65,389.17,1964.8,0.039,Toyota Carolla
56,1964.8,6.38,390.44,1574.36,0.039,Toyota Carolla
57,1574.36,5.11,391.71,1182.65,0.039,Toyota Carolla
58,1182.65,3.84,392.98,789.67,0.039,Toyota Carolla
59,789.67,2.56,394.26,395.41,0.039,Toyota Carolla
60,395.41,1.28,395.54,-0.13,0.039,Toyota Carolla
1,44409.6,107.32,1182.21,43227.39,0.029,VW Golf R
2,43227.39,104.46,1185.07,42042.32,0.029,VW Golf R
3,42042.32,101.6,1187.93,40854.39,0.029,VW Golf R
4,40854.39,98.73,1190.8,39663.59,0.029,VW Golf R
5,39663.59,95.85,1193.68,38469.91,0.029,VW Golf R
6,38469.91,92.96,1196.57,37273.34,0.029,VW Golf R
7,37273.34,90.07,1199.46,36073.88,0.029,VW Golf R
8,36073.88,87.17,1202.36,34871.52,0.029,VW Golf R
9,34871.52,84.27,1205.26,33666.26,0.029,VW Golf R
10,33666.26,81.36,1208.17,32458.09,0.029,VW Golf R
11,32458.09,78.44,1211.09,31247.0,0.029,VW Golf R
12,31247.0,75.51,1214.02,30032.98,0.029,VW Golf R
13,30032.98,72.57,1216.96,28816.02,0.029,VW Golf R
14,28816.02,69.63,1219.9,27596.12,0.029,VW Golf R
15,27596.12,66.69,1222.84,26373.28,0.029,VW Golf R
16,26373.28,63.73,1225.8,25147.48,0.029,VW Golf R
17,25147.48,60.77,1228.76,23918.72,0.029,VW Golf R
18,23918.72,57.8,1231.73,22686.99,0.029,VW Golf R
19,22686.99,54.82,1234.71,21452.28,0.029,VW Golf R
20,21452.28,51.84,1237.69,20214.59,0.029,VW Golf R
21,20214.59,48.85,1240.68,18973.91,0.029,VW Golf R
22,18973.91,45.85,1243.68,17730.23,0.029,VW Golf R
23,17730.23,42.84,1246.69,16483.54,0.029,VW Golf R
24,16483.54,39.83,1249.7,15233.84,0.029,VW Golf R
25,15233.84,36.81,1252.72,13981.12,0.029,VW Golf R
26,13981.12,33.78,1255.75,12725.37,0.029,VW Golf R
27,12725.37,30.75,1258.78,11466.59,0.029,VW Golf R
28,11466.59,27.71,1261.82,10204.77,0.029,VW Golf R
29,10204.77,24.66,1264.87,8939.9,0.029,VW Golf R
30,8939.9,21.6,1267.93,7671.97,0.029,VW Golf R
31,7671.97,18.54,1270.99,6400.98,0.029,VW Golf R
32,6400.98,15.46,1274.07,5126.91,0.029,VW Golf R
33,5126.91,12.39,1277.14,3849.77,0.029,VW Golf R
34,3849.77,9.3,1280.23,2569.54,0.029,VW Golf R
35,2569.54,6.2,1283.33,1286.21,0.029,VW Golf R
36,1286.21,3.1,1286.43,-0.22,0.029,VW Golf R
1,44409.6,107.32,873.7,43535.9,0.029,VW Golf R
2,43535.9,105.21,875.81,42660.09,0.029,VW Golf R
3,42660.09,103.09,877.93,41782.16,0.029,VW Golf R
4,41782.16,100.97,880.05,40902.11,0.029,VW Golf R
5,40902.11,98.84,882.18,40019.93,0.029,VW Golf R
6,40019.93,96.71,884.31,39135.62,0.029,VW Golf R
7,39135.62,94.57,886.45,38249.17,0.029,VW Golf R
8,38249.17,92.43,888.59,37360.58,0.029,VW Golf R
9,37360.58,90.28,890.74,36469.84,0.029,VW Golf R
10,36469.84,88.13,892.89,35576.95,0.029,VW Golf R
11,35576.95,85.97,895.05,34681.9,0.029,VW Golf R
12,34681.9,83.81,897.21,33784.69,0.029,VW Golf R
13,33784.69,81.64,899.38,32885.31,0.029,VW Golf R
14,32885.31,79.47,901.55,31983.76,0.029,VW Golf R
15,31983.76,77.29,903.73,31080.03,0.029,VW Golf R
16,31080.03,75.11,905.91,30174.12,0.029,VW Golf R
17,30174.12,72.92,908.1,29266.02,0.029,VW Golf R
18,29266.02,70.72,910.3,28355.72,0.029,VW Golf R
19,28355.72,68.52,912.5,27443.22,0.029,VW Golf R
20,27443.22,66.32,914.7,26528.52,0.029,VW Golf R
21,26528.52,64.11,916.91,25611.61,0.029,VW Golf R
22,25611.61,61.89,919.13,24692.48,0.029,VW Golf R
23,24692.48,59.67,921.35,23771.13,0.029,VW Golf R
24,23771.13,57.44,923.58,22847.55,0.029,VW Golf R
25,22847.55,55.21,925.81,21921.74,0.029,VW Golf R
26,21921.74,52.97,928.05,20993.69,0.029,VW Golf R
27,20993.69,50.73,930.29,20063.4,0.029,VW Golf R
28,20063.4,48.48,932.54,19130.86,0.029,VW Golf R
29,19130.86,46.23,934.79,18196.07,0.029,VW Golf R
30,18196.07,43.97,937.05,17259.02,0.029,VW Golf R
31,17259.02,41.7,939.32,16319.7,0.029,VW Golf R
32,16319.7,39.43,941.59,15378.11,0.029,VW Golf R
33,15378.11,37.16,943.86,14434.25,0.029,VW Golf R
34,14434.25,34.88,946.14,13488.11,0.029,VW Golf R
35,13488.11,32.59,948.43,12539.68,0.029,VW Golf R
36,12539.68,30.3,950.72,11588.96,0.029,VW Golf R
37,11588.96,28.0,953.02,10635.94,0.029,VW Golf R
38,10635.94,25.7,955.32,9680.62,0.029,VW Golf R
39,9680.62,23.39,957.63,8722.99,0.029,VW Golf R
40,8722.99,21.08,959.94,7763.05,0.029,VW Golf R
41,7763.05,18.76,962.26,6800.79,0.029,VW Golf R
42,6800.79,16.43,964.59,5836.2,0.029,VW Golf R
43,5836.2,14.1,966.92,4869.28,0.029,VW Golf R
44,4869.28,11.76,969.26,3900.02,0.029,VW Golf R
45,3900.02,9.42,971.6,2928.42,0.029,VW Golf R
46,2928.42,7.07,973.95,1954.47,0.029,VW Golf R
47,1954.47,4.72,976.3,978.17,0.029,VW Golf R
48,978.17,2.36,978.66,-0.49,0.029,VW Golf R
1,44409.6,107.32,688.69,43720.91,0.029,VW Golf R
2,43720.91,105.65,690.36,43030.55,0.029,VW Golf R
3,43030.55,103.99,692.02,42338.53,0.029,VW Golf R
4,42338.53,102.31,693.7,41644.83,0.029,VW Golf R
5,41644.83,100.64,695.37,40949.46,0.029,VW Golf R
6,40949.46,98.96,697.05,40252.41,0.029,VW Golf R
7,40252.41,97.27,698.74,39553.67,0.029,VW Golf R
8,39553.67,95.58,700.43,38853.24,0.029,VW Golf R
9,38853.24,93.89,702.12,38151.12,0.029,VW Golf R
10,38151.12,92.19,703.82,37447.3,0.029,VW Golf R
11,37447.3,90.49,705.52,36741.78,0.029,VW Golf R
12,36741.78,88.79,707.22,36034.56,0.029,VW Golf R
13,36034.56,87.08,708.93,35325.63,0.029,VW Golf R
14,35325.63,85.37,710.64,34614.99,0.029,VW Golf R
15,34614.99,83.65,712.36,33902.63,0.029,VW Golf R
16,33902.63,81.93,714.08,33188.55,0.029,VW Golf R
17,33188.55,80.2,715.81,32472.74,0.029,VW Golf R
18,32472.74,78.47,717.54,31755.2,0.029,VW Golf R
19,31755.2,76.74,719.27,31035.93,0.029,VW Golf R
20,31035.93,75.0,721.01,30314.92,0.029,VW Golf R
21,30314.92,73.26,722.75,29592.17,0.029,VW Golf R
22,29592.17,71.51,724.5,28867.67,0.029,VW Golf R
23,28867.67,69.76,726.25,28141.42,0.029,VW Golf R
24,28141.42,68.0,728.01,27413.41,0.029,VW Golf R
25,27413.41,66.24,729.77,26683.64,0.029,VW Golf R
26,26683.64,64.48,731.53,25952.11,0.029,VW Golf R
27,25952.11,62.71,733.3,25218.81,0.029,VW Golf R
28,25218.81,60.94,735.07,24483.74,0.029,VW Golf R
29,24483.74,59.16,736.85,23746.89,0.029,VW Golf R
30,23746.89,57.38,738.63,23008.26,0.029,VW Golf R
31,23008.26,55.6,740.41,22267.85,0.029,VW Golf R
32,22267.85,53.81,742.2,21525.65,0.029,VW Golf R
33,21525.65,52.02,743.99,20781.66,0.029,VW Golf R
34,20781.66,50.22,745.79,20035.87,0.029,VW Golf R
35,20035.87,48.42,747.59,19288.28,0.029,VW Golf R
36,19288.28,46.61,749.4,18538.88,0.029,VW Golf R
37,18538.88,44.8,751.21,17787.67,0.029,VW Golf R
38,17787.67,42.98,753.03,17034.64,0.029,VW Golf R
39,17034.64,41.16,754.85,16279.79,0.029,VW Golf R
40,16279.79,39.34,756.67,15523.12,0.029,VW Golf R
41,15523.12,37.51,758.5,14764.62,0.029,VW Golf R
42,14764.62,35.68,760.33,14004.29,0.029,VW Golf R
43,14004.29,33.84,762.17,13242.12,0.029,VW Golf R
44,13242.12,32.0,764.01,12478.11,0.029,VW Golf R
45,12478.11,30.15,765.86,11712.25,0.029,VW Golf R
46,11712.25,28.3,767.71,10944.54,0.029,VW Golf R
47,10944.54,26.44,769.57,10174.97,0.029,VW Golf R
48,10174.97,24.58,771.43,9403.54,0.029,VW Golf R
49,9403.54,22.72,773.29,8630.25,0.029,VW Golf R
50,8630.25,20.85,775.16,7855.09,0.029,VW Golf R
51,7855.09,18.98,777.03,7078.06,0.029,VW Golf R
52,7078.06,17.1,778.91,6299.15,0.029,VW Golf R
53,6299.15,15.22,780.79,5518.36,0.029,VW Golf R
54,5518.36,13.33,782.68,4735.68,0.029,VW Golf R
55,4735.68,11.44,784.57,3951.11,0.029,VW Golf R
56,3951.11,9.54,786.47,3164.64,0.029,VW Golf R
57,3164.64,7.64,788.37,2376.27,0.029,VW Golf R
58,2376.27,5.74,790.27,1586.0,0.029,VW Golf R
59,1586.0,3.83,792.18,793.82,0.029,VW Golf R
60,793.82,1.91,794.1,-0.28,0.029,VW Golf R
